Local_Auth_Code,x,y,geo_area,EU_zone_agglom,Total_PM25,Motorway_in,Motorway_out,Trunk_A_Rd_in,Trunk_A_Rd_out,Primary_A_Rd_in,Primary_A_Rd_out,Minor_Rd.Cold_Start_in,Minor_Rd.Cold_Start_out,Brake.Tyre_in,Brake.Tyre_out,Road_Abrasion_in,Road_Abrasion_out,Industry_in,Industry_out,Domestic_in,Domestic_out,Rail_in,Rail_out,Other_in,Other_out,PM_secondary,Residual.Salt,Point_Sources,Sex,AgeGroup,Pathogen,RatePer100000
S12000036,323500,674500,1,25,5.210541,0,0.004385,0,0.004585,0.007148,0.020221,0.03456,0.044836,0.08121,0.177955,0.026438,0.064171,0.096785,0.530394,0.179573,0.443918,0,0.009827,0.014126,0.160004,2.540282,0.672011,0.098113,Male,15-44 years,Adenovirus,0.503813363
S12000036,324500,674500,1,25,5.277967,0,0.003799,0,0.004626,0.002982,0.02272,0.0371,0.056273,0.079334,0.18484,0.025601,0.066153,0.112589,0.520998,0.201291,0.458516,0,0.011641,0.038764,0.165276,2.540282,0.654543,0.090639,Male,15-44 years,Human metapneumovirus,0.100762673
S12000036,325500,674500,1,25,5.344162,0,0.003285,0,0.004669,0.005881,0.022537,0.062274,0.056211,0.089004,0.179889,0.028786,0.064247,0.105946,0.519616,0.178024,0.467558,0,0.012279,0.099227,0.158047,2.541623,0.647428,0.09763,Male,15-44 years,Influenza - Type A (any subtype),0.100762673
S12000036,326500,674500,1,25,5.26133,0,0.002837,0,0.004728,0.018375,0.019017,0.031859,0.053807,0.092894,0.166651,0.030643,0.05951,0.104062,0.507135,0.154593,0.461069,0.00574,0.010821,0.046426,0.181743,2.541623,0.667912,0.099887,Male,15-44 years,Influenza - Type A (not subtyped),0
S12000036,327500,674500,1,25,5.004347,0,0.002458,0,0.00478,0.007894,0.018678,0.019529,0.043037,0.061687,0.155416,0.020562,0.055585,0.09745,0.439559,0.154423,0.431294,0.009379,0.009697,0.02745,0.153476,2.541623,0.64173,0.10864,Male,15-44 years,Influenza - Type A or B,0.100762673
S12000036,328500,674500,1,25,4.924583,0,0.001834,0,0.004814,0.008682,0.017054,0.019126,0.035975,0.065991,0.145855,0.021745,0.052039,0.118729,0.396788,0.16997,0.403154,0.009477,0.009157,0.024655,0.123522,2.541623,0.641262,0.113132,Male,15-44 years,Influenza - Type A(H1N1)pdm09,0
S12000036,329500,674500,1,25,4.901586,0,9.62E-04,0,0.00487,0.018444,0.015109,0.015591,0.032842,0.100797,0.135597,0.033058,0.048006,0.088147,0.385575,0.149781,0.386332,0.006249,0.009277,0.060135,0.110254,2.541623,0.664397,0.09454,Male,15-44 years,Influenza - Type A(H3),0.100762673
S12000036,330500,674500,1,25,4.488318,0,5.13E-04,0,0.004523,2.80E-05,0.017522,0.011323,0.030411,0.025236,0.140898,0.008046,0.04923,0.02167,0.349856,0.068848,0.357658,0,0.010252,0.017847,0.103536,2.544567,0.643155,0.083199,Male,15-44 years,Influenza - Type B,0
S12000036,310500,673500,1,37,4.5758,0,0.020976,0,0.001435,0,0.009595,4.63E-04,0.017336,0.001551,0.118577,7.06E-04,0.058813,0.003694,0.408955,8.60E-05,0.309574,2.24E-04,0.003724,0.001302,0.112264,2.550784,0.888012,0.067728,Male,15-44 years,Mycoplasma pneumoniae,0.100762673
S12000036,311500,673500,1,37,4.670793,0.004032,0.026209,0,0.001591,0,0.009853,0.00118,0.01652,0.011906,0.128752,0.007793,0.067144,0.00504,0.474246,0.018014,0.293211,0,0.003953,0.001522,0.108695,2.550784,0.882412,0.057936,Male,15-44 years,Parainfluenza virus,0.100762673
S12000036,312500,673500,1,37,5.093489,0.024047,0.030509,0,0.001785,0,0.0108,0.003258,0.017318,0.056941,0.142184,0.03943,0.075971,0.040741,0.567563,0.02114,0.310593,0,0.004177,0.076486,0.113678,2.550784,0.930455,0.075627,Male,15-44 years,Respiratory syncytial virus,0.403050691
S12000036,313500,673500,1,37,4.758274,0,0.030341,0,0.002031,0,0.011614,0.001062,0.018207,0.003593,0.146543,0.001634,0.077928,0.037943,0.491374,0.001683,0.328946,0,0.004494,0.104947,0.128583,2.550784,0.738245,0.078321,Male,15-44 years,Rhinovirus,1.410677417
S12000036,314500,673500,1,37,4.694206,0,0.022026,0,0.002328,0,0.012227,0.006523,0.017461,0.008026,0.131952,0.003651,0.066467,0.032295,0.430721,0.005362,0.303712,0,0.004903,0.106553,0.142662,2.550784,0.767918,0.078635,Male,15-44 years,Seasonal coronavirus (Non-SARS-CoV-2),0
S12000036,315500,673500,1,37,4.632515,0,0.017857,0,0.00276,0,0.01275,0.002146,0.018802,0.004536,0.128739,0.002064,0.06187,0.016352,0.402489,0.016592,0.282315,0,0.006134,0.105362,0.143963,2.549347,0.782235,0.076202,Female,45-64 years,Adenovirus,0.129513379
S12000036,316500,673500,1,37,4.64494,0,0.014714,0,0.003481,0,0.013536,0.001088,0.020743,0.003451,0.131969,0.00157,0.059924,0.018586,0.399069,0.027297,0.284853,0.006971,0.005805,0.105345,0.129048,2.549347,0.800162,0.06798,Female,45-64 years,Human metapneumovirus,0.129513379
S12000036,317500,673500,1,37,4.763268,0,0.012205,0,0.005751,0,0.016045,0.007583,0.026089,0.004739,0.157543,0.002033,0.065778,0.004218,0.491107,0.013906,0.326652,0.00188,0.008229,0.002664,0.141919,2.549347,0.860213,0.065368,Female,45-64 years,Influenza - Type A (any subtype),0.647566897
S12000036,318500,673500,1,25,5.067087,0,0.009573,0,0.006172,0.010341,0.016341,0.017399,0.031815,0.079586,0.167894,0.026208,0.066114,0.093895,0.497822,0.209327,0.374546,0,0.008766,0.014335,0.127231,2.549347,0.696672,0.063704,Female,45-64 years,Influenza - Type A (not subtyped),0.129513379
S12000036,319500,673500,1,25,5.098699,0,0.007694,0,0.005825,0,0.01823,0.023688,0.036248,0.066867,0.180885,0.02143,0.068231,0.115985,0.494237,0.216035,0.439567,0,0.008418,0.016951,0.125672,2.549347,0.639143,0.064246,Female,45-64 years,Influenza - Type A or B,0.647566897
S12000036,320500,673500,1,25,4.811484,0,0.006794,0,0.005345,0,0.016787,0.008903,0.037179,0.022309,0.173737,0.007217,0.064857,0.05966,0.495669,0.094143,0.432168,0,0.00811,0.006745,0.117591,2.540282,0.647711,0.066278,Female,45-64 years,Influenza - Type A(H1N1)pdm09,0
S12000036,321500,673500,1,25,4.728002,0,0.005704,0,0.005209,0.005188,0.016987,0.006387,0.037211,0.033351,0.167762,0.01097,0.061914,0.037498,0.489197,0.04448,0.428688,0,0.009404,0.006085,0.121916,2.540282,0.631917,0.067853,Female,45-64 years,Influenza - Type A(H3),0.518053518
S12000036,322500,673500,1,25,5.074922,0,0.004835,0,0.005207,0.010234,0.018133,0.016607,0.039402,0.068124,0.168248,0.022396,0.061373,0.097551,0.542961,0.15885,0.421116,0,0.011704,0.016712,0.138558,2.540282,0.630842,0.101789,Female,45-64 years,Influenza - Type B,0
S12000036,323500,673500,1,25,5.161162,0,0.004121,0,0.005171,0.010018,0.021178,0.024109,0.047261,0.069278,0.179036,0.022763,0.064464,0.080509,0.568381,0.12573,0.458288,0.008738,0.012453,0.013955,0.157103,2.540282,0.643142,0.105182,Female,45-64 years,Mycoplasma pneumoniae,0.259026759
S12000036,324500,673500,1,25,5.472729,0,0.003532,0,0.00517,0.037494,0.019262,0.075077,0.048389,0.141914,0.172292,0.048225,0.061766,0.082578,0.538392,0.173222,0.466461,0.012205,0.011942,0.06267,0.150884,2.540282,0.731385,0.089588,Female,45-64 years,Parainfluenza virus,0.259026759
S12000036,325500,673500,1,25,5.216126,0,0.003043,0,0.005197,0.017178,0.021914,0.05273,0.053206,0.069604,0.176012,0.024011,0.06284,0.065022,0.516405,0.134356,0.467099,0.011262,0.010618,0.047331,0.162533,2.541623,0.695383,0.078759,Female,45-64 years,Respiratory syncytial virus,1.165620414
S12000036,326500,673500,1,25,5.178924,0,0.002631,0,0.005232,0.005766,0.020346,0.025022,0.048345,0.045556,0.163525,0.015106,0.058588,0.094299,0.493638,0.121159,0.445002,0.003997,0.010249,0.199888,0.131094,2.541623,0.652283,0.095577,Female,45-64 years,Rhinovirus,2.07221407
S12000036,327500,673500,1,25,4.602773,0,0.002283,0,0.005273,0,0.017853,0.00118,0.040522,0.00416,0.153257,0.001345,0.054983,0.001826,0.445242,7.84E-04,0.432265,0,0.00925,0.001253,0.148526,2.541623,0.64713,0.094019,Female,45-64 years,Seasonal coronavirus (Non-SARS-CoV-2),0.518053518
S12000036,328500,673500,1,25,4.722077,0,0.00171,0,0.005304,0.005618,0.0153,0.011749,0.032667,0.046465,0.137804,0.015422,0.049506,0.065122,0.385002,0.136286,0.388464,0,0.008645,0.012153,0.110719,2.541623,0.662028,0.09049,Male,45-64 years,Adenovirus,0.409056511
S12000036,329500,673500,1,25,4.838596,0,8.93E-04,0,0.00534,0.00389,0.016208,0.016533,0.030724,0.050779,0.139591,0.016677,0.049574,0.115159,0.363541,0.200169,0.386459,0.003612,0.008695,0.069414,0.093675,2.541623,0.643787,0.082252,Male,45-64 years,Human metapneumovirus,0.545408682
S12000036,330500,673500,1,25,4.777408,0,5.03E-04,0,0.005436,0.01456,0.015735,0.017965,0.029284,0.099054,0.13627,0.032394,0.048302,0.069378,0.358499,0.11901,0.39457,0.009135,0.009017,0.025508,0.094872,2.544567,0.67222,0.081131,Male,45-64 years,Influenza - Type A (any subtype),0.409056511
S12000036,331500,673500,1,25,4.610016,0,3.80E-04,0,0.005673,0.004607,0.017445,0.014819,0.026805,0.059326,0.13968,0.019148,0.049616,0.059632,0.328085,0.116927,0.366975,0.013426,0.009378,0.009898,0.081137,2.544567,0.66309,0.079402,Male,45-64 years,Influenza - Type A (not subtyped),0.13635217
S12000036,332500,673500,1,25,4.39121,0,2.42E-04,0,0.005634,0.004982,0.015136,0.00681,0.024243,0.036372,0.125535,0.011809,0.044969,0.023488,0.301889,0.046314,0.357355,0,0.012425,0.002665,0.074083,2.544567,0.672412,0.08028,Male,45-64 years,Influenza - Type A or B,0.681760852
S12000036,311500,672500,1,37,5.05657,0,0.037273,0,0.001595,0.008288,0.010135,9.88E-04,0.016294,0.02693,0.150235,0.012603,0.082851,0.021215,0.70108,0.065891,0.283625,0.001131,0.003822,0.001108,0.110823,2.550784,0.906382,0.063517,Male,45-64 years,Influenza - Type A(H1N1)pdm09,0
S12000036,312500,672500,1,37,5.423821,0.03026,0.050276,0,0.001801,0.014426,0.010079,0.006081,0.015867,0.113734,0.175341,0.070494,0.102228,0.036119,0.704573,0.110291,0.305888,0.001167,0.004045,0.032244,0.104109,2.550784,0.929494,0.054523,Male,45-64 years,Influenza - Type A(H3),0.272704341
S12000036,313500,672500,1,37,5.148273,0,0.047783,0,0.002093,0.014445,0.011265,0.00453,0.016975,0.052756,0.177068,0.025279,0.102008,0.041563,0.521129,0.298906,0.285577,0.001205,0.004255,0.003406,0.114167,2.550784,0.792658,0.080422,Male,45-64 years,Influenza - Type B,0.272704341
S12000036,314500,672500,1,37,4.848245,0,0.032396,0,0.002488,0.014536,0.011732,0.003978,0.01741,0.055299,0.150035,0.026444,0.080664,0.03382,0.441379,0.011782,0.333485,6.69E-04,0.004729,0.016299,0.110197,2.550784,0.885854,0.064266,Male,45-64 years,Mycoplasma pneumoniae,0.545408682
S12000036,315500,672500,1,37,4.742482,0,0.026092,0,0.003128,0.012787,0.012393,0.001478,0.018491,0.042367,0.144892,0.020162,0.073898,0.010339,0.415875,0.012501,0.286394,0,0.005483,0.001542,0.112921,2.549347,0.917844,0.074549,Male,45-64 years,Parainfluenza virus,0.13635217
S12000036,316500,672500,1,37,4.686656,0,0.018749,0,0.00496,0.011586,0.013306,0.001481,0.021379,0.038053,0.146273,0.01786,0.067832,0.005834,0.440394,0.012817,0.283907,0,0.006781,0.00105,0.114598,2.549347,0.864104,0.066347,Male,45-64 years,Respiratory syncytial virus,0.681760852
S12000036,317500,672500,1,37,5.351174,0,0.013517,0.012103,0.00666,0.017513,0.01346,0.019614,0.024925,0.135399,0.153032,0.048785,0.064965,0.503881,0.391726,0.020435,0.319557,0.00572,0.00724,0.068646,0.106953,2.549347,0.803944,0.063755,Male,45-64 years,Rhinovirus,1.636226045
